Name,Precipitacao,StartDate,EndDate,Latitude,Longitude
ESTRADA DOS MORROS,14.651067463706235,1987/01/01,2019/07/31,-26.2489,-48.9775
JOINVILLE,7.8221367521367515,1952/06/01,1989/12/31,-26.3,-48.85
JOINVILLE (RVPSC),7.5164440734557605,1938/05/01,2019/08/31,-26.3217,-48.8464
JOINVILLE - FUND.,13.603225806451611,1989/01/01,1991/10/31,-26.25,-48.85
PIRABEIRABA,11.552800718132854,1987/05/01,2019/07/31,-26.18,-48.9394
PONTE SC-301,8.10134223471539,1977/05/01,2019/08/31,-26.4483,-48.8303
POSTO ESTRADA BLUMENAU KM 18,11.943225806451613,1985/01/01,1989/12/31,-26.3667,-48.9833
PRIMEIRO SALTO DO CUBATÃO,10.074298375184638,1981/04/01,2019/08/31,-26.2158,-49.0806
RIO DO JÚLIO,7.960935350756534,1946/02/16,1971/01/31,-26.2667,-49.1167
SEGUNDO SALTO CUBATÃO,6.441886269070736,1949/11/23,1972/12/31,-26.1833,-49.0833
ÁGUA AZUL,8.767748091603053,1952/10/01,1968/12/31,-26.25,-48.9667
